,officialPosition,displayName,team,time_to_pass,%ofPositivePlays,ppg,OL_speed_mean,OL_acceleration_mean,%ofNegativePlays,nflId_y,expectedPctOfNegPlays
0,C,Ryan Jensen,TB,2.3056478405315612,0.9269102990033222,32.5,1.5530897009966778,1.2694352159468438,0.07308970099667775,40151.0,0.06536259519596686
12,C,Tyler Biadasz,DAL,2.5258964143426295,0.9043824701195219,32.142857142857146,1.6566932270916335,1.3452988047808765,0.09561752988047809,52554.0,0.08455186431073168
19,C,Matt Hennessy,ATL,2.3674911660777385,0.8975265017667844,21.142857142857142,1.8669611307420495,1.4945583038869257,0.10247349823321555,52486.0,0.09048394067832329
23,C,Jason Kelce,PHI,2.981818181818182,0.9363636363636364,25.375,1.6306363636363637,1.2411363636363637,0.06363636363636363,37266.0,0.0591222564624208
32,C,Mitch Morse,BUF,2.7532467532467533,0.9437229437229437,32.714285714285715,1.732207792207792,1.2726406926406928,0.05627705627705628,42392.0,0.051494872870983276
44,C,Kendrick Green,PIT,2.2079646017699117,0.8982300884955752,18.857142857142858,1.5763716814159292,1.336061946902655,0.10176991150442478,53516.0,0.09005218989326785
50,C,Connor McGovern,NYJ,2.753787878787879,0.9242424242424242,16.285714285714285,1.7359469696969698,1.3722348484848483,0.07575757575757576,43433.0,0.06705286426892626
56,C,Matt Paradis,CAR,2.6619217081850532,0.9252669039145908,20.625,1.5799288256227757,1.287473309608541,0.07473309608540925,41436.0,0.06490543332047496
67,C,Garrett Bradbury,MIN,2.4823529411764707,0.8980392156862745,23.285714285714285,1.6589019607843136,1.3261176470588236,0.10196078431372549,47801.0,0.09142920483733302
74,C,Trey Hopkins,CIN,2.4552845528455283,0.8983739837398375,27.5,1.526829268292683,1.2280081300813006,0.1016260162601626,41619.0,0.09131352530478709
87,C,Evan Brown,DET,2.518918918918919,0.972972972972973,16.75,1.6734594594594594,1.3481621621621622,0.02702702702702703,46679.0,0.024777480461640314
88,C,Alex Mack,SF,2.601010101010101,0.9646464646464646,24.0,1.5851515151515152,1.3719696969696968,0.03535353535353535,34472.0,0.03148014160062668
96,C,Justin Britt,HOU,2.5,0.926829268292683,14.875,1.951341463414634,1.1742073170731706,0.07317073170731707,41293.0,0.06721659534539351
112,C,Ryan Kelly,IND,2.7786561264822134,0.9328063241106719,25.0,1.5381422924901185,1.2648616600790514,0.06719367588932806,43307.0,0.05824669294408933
130,C,Ben Jones,TEN,2.3625954198473282,0.9198473282442748,28.375,1.5932824427480916,1.3069465648854963,0.08015267175572519,38629.0,0.0727442526085357
151,C,Corey Linsley,LAC,2.4866920152091256,0.973384030418251,24.571428571428573,1.3867680608365018,1.1484790874524715,0.026615969581749048,41390.0,0.02301396218039879
161,C,Chase Roullier,WAS,2.709016393442623,0.930327868852459,19.5,1.788565573770492,1.3535655737704917,0.06967213114754098,45012.0,0.062106389653760384
168,C,J.C. Tretter,CLE,2.626126126126126,0.9594594594594594,22.875,1.5984684684684685,1.259144144144144,0.04054054054054054,40070.0,0.03595437219201403
179,C,Creed Humphrey,KC,2.7068403908794787,0.9674267100977199,26.0,1.7633876221498372,1.2514332247557003,0.03257328990228013,53492.0,0.02929258739882368
184,C,David Andrews,NE,2.322463768115942,0.9311594202898551,25.75,1.604927536231884,1.302572463768116,0.06884057971014493,42883.0,0.06208158585820557
222,C,Billy Price,NYG,2.4769874476987446,0.9372384937238494,19.5,1.7298326359832636,1.3727615062761505,0.06276150627615062,46090.0,0.054874148303222306
231,C,Lloyd Cushenberry,DEN,2.697841726618705,0.935251798561151,19.625,1.6346043165467627,1.2280935251798561,0.06474820143884892,52491.0,0.05929542752971833
239,C,Sam Mustipher,CHI,2.6296296296296298,0.912037037037037,15.375,1.7637037037037036,1.3139351851851853,0.08796296296296297,48159.0,0.07776619809134805
247,C,Brian Allen,LA,2.475206611570248,0.9132231404958677,30.625,1.6289256198347106,1.250702479338843,0.08677685950413223,46180.0,0.07849396140275305
255,C,Andre James,LV,2.4823529411764707,0.9333333333333333,25.714285714285715,1.5354901960784315,1.3218039215686275,0.06666666666666667,48235.0,0.05898775160875299
264,C,Bradley Bozeman,BAL,2.9004524886877827,0.9366515837104072,26.714285714285715,1.7926696832579185,1.242443438914027,0.06334841628959276,46284.0,0.0577408362861666
