,officialPosition,displayName,team,time_to_pass,%ofPositivePlays,ppg,OL_speed_mean,OL_acceleration_mean,%ofNegativePlays,nflId_y,expectedPctOfNegPlays
2,G,Ali Marpet,TB,2.301003344481605,0.9331103678929766,32.5,1.7390969899665552,1.403277591973244,0.06688963210702341,42404.0,0.05791540392002604
3,G,Alex Cappa,TB,2.3046357615894038,0.9172185430463576,32.5,1.8715231788079472,1.3714569536423842,0.08278145695364239,46163.0,0.07103631105296601
10,G,Connor Williams,DAL,2.5258964143426295,0.9402390438247012,32.142857142857146,1.6577290836653384,1.2619521912350598,0.05976095617529881,46119.0,0.0516766466852621
13,G,Zack Martin,DAL,2.557213930348259,0.9303482587064676,32.142857142857146,1.7133830845771143,1.308308457711443,0.06965174129353234,41242.0,0.06202868840778646
17,G,Chris Lindstrom,ATL,2.3674911660777385,0.9399293286219081,21.142857142857142,2.225901060070671,1.5752296819787988,0.06007067137809187,47797.0,0.05069788504899094
20,G,Jalen Mayfield,ATL,2.367857142857143,0.8678571428571429,21.142857142857142,2.0270357142857143,1.370392857142857,0.13214285714285715,53497.0,0.11441461205095586
28,G,Landon Dickerson,PHI,3.0486486486486486,0.8702702702702703,25.375,1.9695675675675677,1.318972972972973,0.12972972972972974,53466.0,0.11430199684554808
34,G,Jon Feliciano,BUF,2.7333333333333334,0.8761904761904762,32.714285714285715,2.189857142857143,1.3967142857142858,0.12380952380952381,42471.0,0.10499689623840759
41,G,Trai Turner,PIT,2.2177777777777776,0.9288888888888889,18.857142857142858,1.8302222222222222,1.3005333333333333,0.07111111111111111,41321.0,0.061345505818641614
43,G,Kevin Dotson,PIT,2.201793721973094,0.9372197309417041,18.857142857142858,1.6652466367713006,1.3654260089686099,0.06278026905829596,52543.0,0.05558223808101537
49,G,Greg Van Roten,NYJ,2.753787878787879,0.8825757575757576,16.285714285714285,2.120871212121212,1.4948484848484849,0.11742424242424243,39684.0,0.10343030684539949
53,G,Alijah Vera-Tucker,NYJ,2.753787878787879,0.9015151515151515,16.285714285714285,1.8513257575757576,1.4191287878787877,0.09848484848484848,53443.0,0.0866754595461347
60,G,Dennis Daley,CAR,2.61271676300578,0.8843930635838151,20.625,1.8201156069364162,1.4201734104046242,0.11560693641618497,47995.0,0.10085269802906345
62,G,John Miller,CAR,2.6948356807511735,0.8873239436619719,20.625,1.6239906103286386,1.282300469483568,0.11267605633802817,42424.0,0.09969324599638756
69,G,Ezra Cleveland,MIN,2.4823529411764707,0.8745098039215686,23.285714285714285,2.029019607843137,1.3980392156862744,0.12549019607843137,52466.0,0.11041833595079585
